molecule	gene	start	end	strand	orientation
X	FBgn0031081_Nep3	19961297	19969323	forward	1
X	FBgn0052826_tRNA:Pro-CGG-1-1	20025099	20025170	forward	1
X	FBgn0031085_CG9570	20051294	20052519	forward	1
X	FBgn0062565_Or19b	20094398	20095767	forward	1
X	FBgn0031088_CG15322	20133579	20138878	forward	1
X	FBgn0041626_Or19a	20141819	20143188	reverse	0
X	FBgn0040784_karr	20110110	20110575	reverse	0
X	FBgn0031086_fd19B	20091428	20092408	reverse	0
X	FBgn0031082_lky	20000968	20002096	reverse	0
X	FBgn0031080_CG12655	19958393	19959403	reverse	0
X	FBgn0052821_CR32821	19910168	19910521	reverse	0
3L	FBgn0053217_CG33217	23126025	23132209	forward	1
3L	FBgn0052350_Vps11	23147656	23150499	reverse	0
3L	FBgn0024733_RpL10	23093190	23095471	reverse	0
X	FBgn0040372_G9a	245978	254650	forward	1
X	FBgn0000316_cin	255674	258469	forward	1
X	FBgn0024989_CG3777	279703	350504	forward	1
X	FBgn0040371_CG12470	307684	308935	forward	1
X	FBgn0029521_Or1a	315123	316566	forward	1
X	FBgn0004034_y	356509	361245	forward	1
X	FBgn0000022_ac	370031	370947	forward	1
X	FBgn0004170_sc	396060	397497	forward	1
X	FBgn0002561_l(1)sc	409721	410817	forward	1
X	FBgn0000137_ase	460747	463176	forward	1
X	FBgn0029522_CG13373	476984	478191	forward	1
X	FBgn0052817_CG32817	479066	480166	forward	1
X	FBgn0029524_CG3176	481862	482768	forward	1
X	FBgn0023536_CG3156	487878	490725	forward	1
X	FBgn0023534_CG17778	494614	496369	forward	1
X	FBgn0023535_Arg	509435	528028	forward	1
X	FBgn0023537_CG17896	490787	493495	reverse	0
X	FBgn0029525_CG18273	482777	487581	reverse	0
X	FBgn0029523_CR18275	476857	479309	reverse	0
X	FBgn0010019_Cyp4g1	467057	469335	reverse	0
X	FBgn0011822_Pgcl	436139	437448	reverse	0
X	FBgn0052816_CG32816	316576	470726	reverse	0
X	FBgn0040370_CG13375	283186	294962	reverse	0
